rotation
Sword Wave, Time: 91.706s, Dur: 666ms
Sword of Wrath, Time: 92.372s, Dur: 366ms
Zealot's Defense, Time: 92.787s, Dur: 1185ms
Weapon Swap, Time: 93.971s, Dur: 0ms
Symbol of Resolution, Time: 94.103s, Dur: 268ms
Whirling Wrath, Time: 94.371s, Dur: 1481ms
Binding Blade, Time: 95.852s, Dur: 533ms
Strike, Time: 96.385s, Dur: 399ms
Vengeful Strike, Time: 96.784s, Dur: 599ms
Wrathful Strike, Time: 97.383s, Dur: 667ms
Strike, Time: 98.05s, Dur: 415ms
Vengeful Strike, Time: 98.465s, Dur: 601ms
Wrathful Strike, Time: 99.066s, Dur: 681ms
Strike, Time: 99.747s, Dur: 400ms
Vengeful Strike, Time: 100.147s, Dur: 599ms
Wrathful Strike, Time: 100.746s, Dur: 683ms
Sword of Justice, Time: 101.429s, Dur: 600ms
Procession of Blades, Time: 102.029s, Dur: 432ms
Spear of Justice, Time: 102.462s, Dur: 553ms
Symbol of Resolution, Time: 103.015s, Dur: 281ms
Whirling Wrath, Time: 103.296s, Dur: 1482ms
Weapon Swap, Time: 104.826s, Dur: 0ms
Shield of Wrath, Time: 104.895s, Dur: 0ms
Symbol of Blades, Time: 105.027s, Dur: 549ms
Ray of Judgment, Time: 105.576s, Dur: 518ms
Dragon's Maw, Time: 106.094s, Dur: 447ms
Zealot's Defense, Time: 106.541s, Dur: 1235ms
Sword of Wrath, Time: 107.776s, Dur: 363ms
Sword Arc, Time: 108.139s, Dur: 517ms
Sword Wave, Time: 108.656s, Dur: 683ms
Sword of Wrath, Time: 109.339s, Dur: 366ms
Sword Arc, Time: 109.705s, Dur: 949ms
